03/12/2025 12:42:02	"MAC Address"	"Vendor"	"SSID"	"Access Point Name"	"Connected AP"	"Signal Strength"	"Quality"	"Station Count"	"Frequency"	"Position"	"Info"	"Adapter"
03/12/2025 12:42:06	1C:28:AF:61:E6:B1	"Hewlett Packard Enterprise"	"tudelft-dastud"	""	""	-71	72	"0"	"Ch 120 [5.600 GHz]"	""	"0 Stations, 3% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"3%"
03/12/2025 12:42:06	1C:28:AF:5C:42:92	"Hewlett Packard Enterprise"	"TUD-facility"	""	""	-71	72	"0"	"Ch 108 [5.540 GHz]"	""	"0 Stations, 2% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"2%"
03/12/2025 12:42:06	D0:4D:C6:F2:99:51	"Hewlett Packard Enterprise"	"tudelft-dastud"	""	""	-71	72	"0"	"Ch 44 [5.220 GHz]"	""	"0 Stations, 7% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"7%"
03/12/2025 12:42:06	1C:28:AF:5C:42:82	"Hewlett Packard Enterprise"	"TUD-facility"	""	""	-70	75	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 30% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"30%"
03/12/2025 12:42:06	1C:28:AF:5B:E9:B2	"Hewlett Packard Enterprise"	"TUD-facility"	""	""	-70	75	"0"	"Ch 157 [5.785 GHz]"	""	"0 Stations, 1% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"1%"
03/12/2025 12:42:06	1C:28:AF:5B:E9:B1	"Hewlett Packard Enterprise"	"tudelft-dastud"	""	""	-70	75	"0"	"Ch 157 [5.785 GHz]"	""	"0 Stations, 1% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"1%"
03/12/2025 12:42:06	1C:28:AF:5B:E9:B0	"Hewlett Packard Enterprise"	"eduroam"	""	""	-70	75	"18"	"Ch 157 [5.785 GHz]"	""	"18 Stations, 1% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"1%"
03/12/2025 12:42:06	1C:28:AF:5C:42:81	"Hewlett Packard Enterprise"	"tudelft-dastud"	""	""	-70	75	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 30% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"30%"
03/12/2025 12:42:06	D0:4D:C6:F2:66:C0	"Hewlett Packard Enterprise"	"eduroam"	""	""	-70	75	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 19% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"19%"
03/12/2025 12:42:06	1C:28:AF:5B:E9:A0	"Hewlett Packard Enterprise"	"eduroam"	""	""	-69	76	"1"	"Ch 11 [2.462 GHz]"	""	"1 Station, 50% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"50%"
